Time,total GB/s read,total GB/s write
2018-07-01T01:56:00+01:00,0.173,-0.208
2018-07-01T05:48:00+01:00,0.385,-0.307
2018-07-01T09:40:00+01:00,0.233,-0.228
2018-07-01T13:32:00+01:00,0.228,-0.227
2018-07-01T17:24:00+01:00,0.325,-0.291
2018-07-01T21:16:00+01:00,0.285,-0.267
2018-07-02T01:08:00+01:00,0.289,-0.2
2018-07-02T05:00:00+01:00,0.279,-0.332
2018-07-02T08:52:00+01:00,0.44,-0.438
2018-07-02T12:44:00+01:00,0.575,-0.527
2018-07-02T16:36:00+01:00,0.246,-0.301
2018-07-02T20:28:00+01:00,0.369,-0.342
2018-07-03T00:20:00+01:00,0.242,-0.319
2018-07-03T04:12:00+01:00,0.316,-0.295
2018-07-03T08:04:00+01:00,0.403,-0.367
2018-07-03T11:56:00+01:00,0.372,-0.484
2018-07-03T15:48:00+01:00,0.305,-0.297
2018-07-03T19:40:00+01:00,0.158,-0.148
2018-07-03T23:32:00+01:00,0.138,-0.146
2018-07-04T03:24:00+01:00,0.159,-0.213
2018-07-04T07:16:00+01:00,0.234,-0.278
2018-07-04T11:08:00+01:00,0.33,-0.365
2018-07-04T15:00:00+01:00,0.294,-0.462
2018-07-04T18:52:00+01:00,0.269,-0.459
2018-07-04T22:44:00+01:00,0.585,-0.705
2018-07-05T02:36:00+01:00,0.661,-0.694
2018-07-05T06:28:00+01:00,0.622,-0.709
2018-07-05T10:20:00+01:00,0.739,-0.99
2018-07-05T14:12:00+01:00,0.761,-0.647
2018-07-05T18:04:00+01:00,0.552,-0.661
2018-07-05T21:56:00+01:00,0.663,-0.701
2018-07-06T01:48:00+01:00,0.609,-0.688
2018-07-06T05:40:00+01:00,0.64,-0.517
2018-07-06T09:32:00+01:00,0.737,-0.751
2018-07-06T13:24:00+01:00,0.68,-0.805
2018-07-06T17:16:00+01:00,0.671,-0.75
2018-07-06T21:08:00+01:00,0.706,-0.773
2018-07-07T01:00:00+01:00,0.747,-0.735
2018-07-07T04:52:00+01:00,0.694,-0.762
